SaveBlock2.playerName			200 187 190 195 200 191 255 | 255
SaveBlock2.playerGender			1
SaveBlock2.specialSaveWarpFlags			0
SaveBlock2.playerTrainerId[0]			177
SaveBlock2.playerTrainerId[1]			59
SaveBlock2.playerTrainerId[2]			83
SaveBlock2.playerTrainerId[3]			27
SaveBlock2.playTimeHours			0
SaveBlock2.playTimeMinutes			3
SaveBlock2.playTimeSeconds			5
SaveBlock2.playTimeVBlanks			19
SaveBlock2.optionsButtonMode			0
SaveBlock2.optionsTextSpeed			0
SaveBlock2.optionsWindowFrameType			1
SaveBlock2.optionsSound			0
SaveBlock2.optionsBattleStyle			0
SaveBlock2.optionsBattleSceneOff			0
SaveBlock2.regionMapZoom			0
SaveBlock2.optionsRunningToggle			0
SaveBlock2.pokedex			...
SaveBlock2.pokedex.order			0
SaveBlock2.pokedex.mode			0
SaveBlock2.pokedex.nationalMagic			0
SaveBlock2.pokedex.unknown2			0
SaveBlock2.pokedex.unownPersonality			0
SaveBlock2.pokedex.spindaPersonality			0
SaveBlock2.pokedex.unknown3			0
SaveBlock2.pokedex.owned[0]			0
SaveBlock2.pokedex.owned[1]			0
SaveBlock2.pokedex.owned[2]			0
SaveBlock2.pokedex.owned[3]			0
SaveBlock2.pokedex.owned[4]			0
SaveBlock2.pokedex.owned[5]			0
SaveBlock2.pokedex.owned[6]			0
SaveBlock2.pokedex.owned[7]			0
SaveBlock2.pokedex.owned[8]			0
SaveBlock2.pokedex.owned[9]			0
SaveBlock2.pokedex.owned[10]			0
SaveBlock2.pokedex.owned[11]			0
SaveBlock2.pokedex.owned[12]			0
SaveBlock2.pokedex.owned[13]			0
SaveBlock2.pokedex.owned[14]			0
SaveBlock2.pokedex.owned[15]			0
SaveBlock2.pokedex.owned[16]			0
SaveBlock2.pokedex.owned[17]			0
SaveBlock2.pokedex.owned[18]			0
SaveBlock2.pokedex.owned[19]			0
SaveBlock2.pokedex.owned[20]			0
SaveBlock2.pokedex.owned[21]			0
SaveBlock2.pokedex.owned[22]			0
SaveBlock2.pokedex.owned[23]			0
SaveBlock2.pokedex.owned[24]			0
SaveBlock2.pokedex.owned[25]			0
SaveBlock2.pokedex.owned[26]			0
SaveBlock2.pokedex.owned[27]			0
SaveBlock2.pokedex.owned[28]			0
SaveBlock2.pokedex.owned[29]			0
SaveBlock2.pokedex.owned[30]			0
SaveBlock2.pokedex.owned[31]			0
SaveBlock2.pokedex.owned[32]			0
SaveBlock2.pokedex.owned[33]			0
SaveBlock2.pokedex.owned[34]			0
SaveBlock2.pokedex.owned[35]			0
SaveBlock2.pokedex.owned[36]			0
SaveBlock2.pokedex.owned[37]			0
SaveBlock2.pokedex.owned[38]			0
SaveBlock2.pokedex.owned[39]			0
SaveBlock2.pokedex.owned[40]			0
SaveBlock2.pokedex.owned[41]			0
SaveBlock2.pokedex.owned[42]			0
SaveBlock2.pokedex.owned[43]			0
SaveBlock2.pokedex.owned[44]			0
SaveBlock2.pokedex.owned[45]			0
SaveBlock2.pokedex.owned[46]			0
SaveBlock2.pokedex.owned[47]			0
SaveBlock2.pokedex.owned[48]			0
SaveBlock2.pokedex.owned[49]			0
SaveBlock2.pokedex.owned[50]			0
SaveBlock2.pokedex.owned[51]			0
SaveBlock2.pokedex.seen[0]			0
SaveBlock2.pokedex.seen[1]			0
SaveBlock2.pokedex.seen[2]			0
SaveBlock2.pokedex.seen[3]			0
SaveBlock2.pokedex.seen[4]			0
SaveBlock2.pokedex.seen[5]			0
SaveBlock2.pokedex.seen[6]			0
SaveBlock2.pokedex.seen[7]			0
SaveBlock2.pokedex.seen[8]			0
SaveBlock2.pokedex.seen[9]			0
SaveBlock2.pokedex.seen[10]			0
SaveBlock2.pokedex.seen[11]			0
SaveBlock2.pokedex.seen[12]			0
SaveBlock2.pokedex.seen[13]			0
SaveBlock2.pokedex.seen[14]			0
SaveBlock2.pokedex.seen[15]			0
SaveBlock2.pokedex.seen[16]			0
SaveBlock2.pokedex.seen[17]			0
SaveBlock2.pokedex.seen[18]			0
SaveBlock2.pokedex.seen[19]			0
SaveBlock2.pokedex.seen[20]			0
SaveBlock2.pokedex.seen[21]			0
SaveBlock2.pokedex.seen[22]			0
SaveBlock2.pokedex.seen[23]			0
SaveBlock2.pokedex.seen[24]			0
SaveBlock2.pokedex.seen[25]			0
SaveBlock2.pokedex.seen[26]			0
SaveBlock2.pokedex.seen[27]			0
SaveBlock2.pokedex.seen[28]			0
SaveBlock2.pokedex.seen[29]			0
SaveBlock2.pokedex.seen[30]			0
SaveBlock2.pokedex.seen[31]			0
SaveBlock2.pokedex.seen[32]			0
SaveBlock2.pokedex.seen[33]			0
SaveBlock2.pokedex.seen[34]			0
SaveBlock2.pokedex.seen[35]			0
SaveBlock2.pokedex.seen[36]			0
SaveBlock2.pokedex.seen[37]			0
SaveBlock2.pokedex.seen[38]			0
SaveBlock2.pokedex.seen[39]			0
SaveBlock2.pokedex.seen[40]			0
SaveBlock2.pokedex.seen[41]			0
SaveBlock2.pokedex.seen[42]			0
SaveBlock2.pokedex.seen[43]			0
SaveBlock2.pokedex.seen[44]			0
SaveBlock2.pokedex.seen[45]			0
SaveBlock2.pokedex.seen[46]			0
SaveBlock2.pokedex.seen[47]			0
SaveBlock2.pokedex.seen[48]			0
SaveBlock2.pokedex.seen[49]			0
SaveBlock2.pokedex.seen[50]			0
SaveBlock2.pokedex.seen[51]			0
SaveBlock2.filler_90[0]			0
SaveBlock2.filler_90[1]			0
SaveBlock2.filler_90[2]			0
SaveBlock2.filler_90[3]			0
SaveBlock2.filler_90[4]			0
SaveBlock2.filler_90[5]			0
SaveBlock2.filler_90[6]			0
SaveBlock2.filler_90[7]			0
SaveBlock2.localTimeOffset			...
SaveBlock2.localTimeOffset.days			0
SaveBlock2.localTimeOffset.hours			-24
SaveBlock2.localTimeOffset.minutes			-60
SaveBlock2.localTimeOffset.seconds			-60
SaveBlock2.lastBerryTreeUpdate			...
SaveBlock2.lastBerryTreeUpdate.days			0
SaveBlock2.lastBerryTreeUpdate.hours			-24
SaveBlock2.lastBerryTreeUpdate.minutes			-60
SaveBlock2.lastBerryTreeUpdate.seconds			-60
SaveBlock2.gcnLinkFlags			0
SaveBlock2.encryptionKey			2403946657
SaveBlock2.playerApprentice			...
SaveBlock2.playerApprentice.id			3
SaveBlock2.playerApprentice.lvlMode			0
SaveBlock2.playerApprentice.questionsAnswered			0
SaveBlock2.playerApprentice.leadMonId			0
SaveBlock2.playerApprentice.party			0
SaveBlock2.playerApprentice.saveId			0
SaveBlock2.playerApprentice.unused			0
